Index,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Graphics Card Ram Size,Wireless Type,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,Optical Drive Type,Voltage,Batteries,Power Source,Number of USB 2.0 Ports,Hard Drive Rotational Speed,National Stock Number,Rear Webcam Resolution,Package Dimensions,Audio-out Ports (#),Manufacturer,Language,ASIN,Date First Available,Department,Is Discontinued By Manufacturer,Country of Origin,Cover Material,Number of Items,Ruling,Sheet Size,Manufacturer Part Number,Part Number,Size,Style,Wattage,Item Package Quantity,Display Style,Special Features,Usage,Included Components,Batteries Included?,Batteries Required?,Battery Cell Type,Warranty Description,Price($)
257,‎16,‎2560 x 1600 pixels,‎2560x1600 Pixels,‎2.2 core_i7,‎16 LPDDR5,,‎1 TB SSD,‎Intel Iris,‎Intel,‎Integrated,,,‎2,,‎LG,‎16Z90R-K.AAS8U1,‎16Z90R-K.AAS8U1,,‎Windows 11 Home,‎2.64 pounds,‎13.98 x 9.54 x 0.66 inches,‎13.98 x 9.54 x 0.66 inches,‎Charcoal Gray,‎Intel,‎1,,‎16 GB,‎Solid State,‎Not Available,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.43
258,‎15.6 Inches,‎1920x1080,‎1920 x 1080 Pixels,‎2.8 GHz core_i7,‎16 GB DDR4,‎4.7 GHz,‎512 GB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎16 GB,"‎Bluetooth, 802.11ax",,‎7 Hours,‎Lenovo,‎ThinkBook 15 Gen 4,‎ThinkBook 15 Gen 4,‎PC,‎Windows 11 Pro,‎3.97 pounds,‎9.25 x 14.1 x 0.74 inches,‎9.25 x 14.1 x 0.74 inches,‎Grey,‎Intel,‎10,‎DDR4 SDRAM,‎512 GB,‎Solid State,,‎110 Volts,,‎AC & Battery,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.99
259,‎14.5 Inches,‎2560 x 1600 pixels,‎2560 x 1600 pixels,‎5.4 GHz core_i9,‎32 GB LPDDR5,,‎1 TB SSD,‎NVIDIA GeForce RTX 4060,‎NVIDIA,‎Dedicated,‎8 GB,,‎1,,‎ASUS,‎Zenbook Pro 14 Duo,‎UX8402VV-PS96T,,‎Windows 11 Home,‎9.53 pounds,‎12.7 x 0.7 x 8.85 inches,‎12.7 x 0.7 x 8.85 inches,‎Tech Black,‎Intel,‎14,‎DDR5 RAM,‎1 TB,,‎No Drive,‎20 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.47
260,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎1.3 GHz core_i5_family,,‎3200 MHz,‎512 GB SSD,‎NVIDIA GeForce RTX 2050,‎NVIDIA,‎RTX 2050,,‎802.11ax,‎2,,‎MSI,‎Thin GF63 12UCX-484US,‎THINGF6312484,,‎Windows 11 Home,‎4.1 pounds,‎14.13 x 0.85 x 9.99 inches,‎14.13 x 0.85 x 9.99 inches,‎Black,‎Intel,‎8,‎DDR4 SDRAM,‎8 GB,,,,‎1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.99
261,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.7 GHz amd_ryzen_7,‎16 GB DDR5,‎4800 MHz,‎1 TB SSD,‎NVIDIA GeForce RTX 3060,‎NVIDIA,‎Dedicated,‎6 GB,‎802.11ax,‎1,,‎ASUS,‎ROG Strix G15,‎G513RM-IS74,‎PC,‎Windows 11 Home,‎7 pounds,‎13.94 x 0.89 x 10.2 inches,‎13.94 x 0.89 x 10.2 inches,‎Eclipse Gray,‎AMD,‎8,‎DDR5 RAM,‎1 TB,‎PCIE x 8,‎No Drive,‎20 Volts (DC),‎1 Lithium Ion batteries required. (included),,,‎7200 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.83
262,‎13 Inches,‎2880x1920,‎2880 x 1920 Pixels,‎4.8 GHz core_i7,‎16 GB LPDDR4,‎2400 MHz,‎256 GB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,‎802.11ax,,,‎Microsoft,‎Surface Pro,‎8PV-00017,‎PC,‎Windows 11 Home,‎4.18 pounds,‎11.3 x 8.2 x 0.37 inches,‎11.3 x 8.2 x 0.37 inches,‎Graphite,‎Intel,,‎DDR4 SDRAM,‎256 GB,‎Solid State,,,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.98
263,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.7 GHz core_i7_family,‎16 GB DDR4,,‎1 TB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,‎Bluetooth,‎2,,‎ASUS,‎F1502Z,‎F1502Z,‎PC,‎Windows 11 Home,‎3.8 pounds,‎9.15 x 14.16 x 0.78 inches,‎9.15 x 14.16 x 0.78 inches,‎Blue,‎Intel,‎10,‎DDR4 SDRAM,,‎PCIE x 4,,‎12 Volts,‎1 Lithium Ion batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.99
264,‎15.6 Inches,‎1920 x 1080,‎1920x1080 Pixels,‎4.4 GHz core_i3_1215u,‎DDR4,‎1.2 GHz,‎512 GB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,,‎2,‎10 Hours,‎Lenovo,‎Lenovo,,,‎Windows 11 Home,‎3.59 pounds,‎14.18 x 9.29 x 0.7 inches,‎14.18 x 9.29 x 0.7 inches,,‎Intel,‎6,,,‎Solid State,‎No Optical Device,,‎1 Lithium Polymer batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0
265,‎8 Inches,‎1280 x 800 pixels,‎1280 x 800 Pixels,‎3.4 GHz celeron_n,‎12 GB LPDDR5,‎4800 MHz,‎1 TB SSD,‎INTEL,‎Intel,‎Integrated,,"‎802.11a/b/g/n, 802.11ax",‎1,,‎KOOSMILE,‎p8,‎P8,‎PC,‎OS,‎3.05 pounds,‎7.87 x 5.51 x 0.79 inches,‎7.87 x 5.51 x 0.79 inches,‎Gray,‎Intel,‎1,‎DDR SDRAM,‎1 TB,‎Solid State,‎No Optical Drive,‎11.4 Volts,‎1 CR2 batteries required. (included),‎Battery Powered,‎1,,,‎2 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.0
267,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎3 GHz core_i3_1115g4,‎DDR4,,‎256 GB SSD,‎Intel UHD Graphics,‎Intel,‎Intel UHD Graphics,,,‎2,‎12 Hours,‎Lenovo,‎Ideapad 3i,,,‎Windows 11,‎3.64 pounds,‎0.78 x 9.31 x 14.14 inches,‎0.78 x 9.31 x 14.14 inches,,‎Intel,‎2,,‎256 GB,,‎No Optical Drive,,‎1 Lithium Polymer batteries required.,,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.99
268,‎16 Inches,‎3840 x 2160 pixels,‎3840 x 2160 pixels,‎5.6 GHz core_i9,‎32 GB DDR5,‎5600 MHz,‎32 GB SSD,‎NVIDIA GeForce RTX 4060,‎NVIDIA,‎Dedicated,‎8 GB,"‎Bluetooth, 802.11ax",‎2,,‎ASUS,‎ProArt StudioBook 16,‎H7604JV-DS96T,,‎Windows 11 Home,‎12.6 pounds,‎14.02 x 0.82 x 10.67 inches,‎14.02 x 0.82 x 10.67 inches,‎Mineral Black,‎Intel,‎24,‎DDR5 RAM,‎1 TB,,‎No Drive,‎13.1 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.0
269,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎1.1 GHz celeron_n3450,‎4 GB LPDDR4,‎2133 GHz,‎32 GB SSD,‎Intel Celeron Processor N4000,‎Intel,‎Integrated,‎4 GB,‎801.11ac,‎2,‎5 Hours,‎SAMSUNG,‎Chromebook 4,‎XE310XBA-K01US,‎PC,‎Chrome OS,‎2.6 pounds,‎11.33 x 7.96 x 0.66 inches,‎11.33 x 7.96 x 0.66 inches,‎Platinum Titan,‎Intel,‎1,‎DDR4 SDRAM,,‎Solid State,‎No Optical Drive,‎5 Volts,‎1 Lithium Polymer batteries required. (included),‎Battery Powered,,,‎XE310XBA-K01US,,,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,75.78
270,‎15.6,‎1366 x 768 pixels,‎1366x768 Pixels,‎2.8 GHz celeron,‎4 GB LPDDR4,,‎64 GB Emmc,‎Intel UHD Graphics 600,‎Intel,‎Integrated,,‎Bluetooth,‎4,,‎acer,‎Acer Laptop,,,‎Chrome OS,‎3.59 pounds,‎14.42 x 0.8 x 9.86 inches,‎14.42 x 0.8 x 9.86 inches,‎Silver,‎Intel,‎2,‎DDR4 SDRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.99
271,‎14 Inches,‎1366 x 768,‎1366 x 768 Pixels,‎1.1 GHz pentium,‎4 GB 4 GB DDR4,‎2400 MHz,‎64 GB SSD,‎Intel UHD Graphics 605,‎Intel,‎Integrated,‎4 GB,"‎802.11a/b/g/n/ac, Bluetooth",,‎12 Hours,‎HP,‎HP Chromebook x36014a-ca0023nr,‎14a-ca0023nr,‎PC,‎Chrome OS,‎3.3 pounds,‎8.65 x 12.82 x 0.72 inches,‎8.65 x 12.82 x 0.72 inches,‎Mineral silver,‎Intel,‎4,‎DDR4 SDRAM,,,‎No optical storage drive,‎240 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5
272,‎16 Inches,‎2560 x 1600 pixels,‎2560 x 1600 Pixels,‎5.4 GHz core_i9,,‎2400 MHz,‎1 TB SSD,‎NVIDIA GeForce RTX 4080,‎NVIDIA,‎Dedicated,‎12 GB,‎802.11ax,‎5,,‎Lenovo,‎Legion Pro 7,‎82WQ002SUS,,‎Windows 11,‎10.43 pounds,‎14.3 x 0.9 x 10.32 inches,‎14.3 x 0.9 x 10.32 inches,‎Black,‎Intel,‎1,,‎16 GB,,,‎240 Volts,‎1 Lithium Polymer batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099.0
273,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎5 GHz core_i7_family,‎16 GB DDR4,‎3200 MHz,‎1 TB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,‎802.11ac,‎2,,‎Lenovo,‎Lenovo V15-IKB,‎Lenovo V15-IKB,‎PC,‎Windows 11 Pro,‎3.64 pounds,‎14.17 x 9.45 x 0.79 inches,‎14.17 x 9.45 x 0.79 inches,‎Black,‎Intel,‎10,‎DDR4 SDRAM,,‎PCIE x 4,,,,‎Corded Electric,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.0
274,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎3.5 GHz athlon,‎8 GB DDR4,‎3200 MHz,‎256 GB SSD,‎AMD Radeon Graphics,‎AMD,‎Integrated,,‎802.11ax,‎3,,‎HP,‎TPN-Q287_789**AV_45W,‎TPN-Q287_789**AV_45W,‎PC,‎Windows 11 Home,‎3.52 pounds,‎14.17 x 9.29 x 0.73 inches,‎14.17 x 9.29 x 0.73 inches,‎Silver,‎AMD,‎2,‎DDR4 SDRAM,‎256 GB,‎PCIE x 4,,,,‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0
275,‎14 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎3 GHz core_i3_family,,‎2400 MHz,‎128 GB SSD,‎Intel UHD Graphics 620,‎Intel,‎Integrated,,‎802.11g/n,‎2,‎7.5 Hours,‎Lenovo,‎IdeaPad 3,‎81X700FUUS,,‎Windows 11 S,‎3.3 pounds,‎12.88 x 9.49 x 0.78 inches,‎12.88 x 9.49 x 0.78 inches,‎Gray,‎Intel,‎1,‎DDR4 SDRAM,‎128 GB,‎PCIE x 4,,‎15 Volts,‎1 Lithium Polymer batteries required. (included),‎Battery Powered,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.99
277,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎1.7 GHz core_i7_family,‎32 GB DDR5,,‎1 TB SSD,‎NVIDIA GeForce RTX 4060,‎Intel,‎Dedicated,‎32 GB,‎802.11ax,‎3,,‎MSI,‎Cyborg 15 A12VF,‎Cyborg 15 A12VF,‎PC,‎Windows 11 Home,‎7.8 pounds,‎12.25 x 3.25 x 12.5 inches,‎12.25 x 3.25 x 12.5 inches,‎Translucent Black,‎Intel,‎10,‎DDR5 SDRAM,,‎PCIE x 4,,,‎1 Lithium Ion batteries required. (included),‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.0
278,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎2 GHz core_i3_5005u,‎DDR3,,‎512 GB SSD,‎Intel HD Graphics 5500,‎Intel,"‎Integrated, Dedicated",,,‎2,‎4 Hours,‎ECOHERO,‎Lambda,,,‎Windows 11 Pro,‎5.39 pounds,‎14.1 x 0.39 x 9.48 inches,‎14.1 x 0.39 x 9.48 inches,‎Space Gray,‎Intel,‎2,,,,,,‎1 Lithium Ion batteries required. (included),,‎2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0
279,‎15.6 Inches,‎1366 x 768 pixels,‎1366x768 Pixels,‎2.2 GHz celeron,‎4 LPDDR3,,‎192 GB SSD,‎Intel HD Graphics 500,‎Intel,‎Integrated,‎4 GB,‎802.11bgn,‎2,,‎Exilapsire,‎LeadBook T15,‎LeadBook T15,,‎Windows 11,‎2.82 pounds,‎14.6 x 9.8 x 0.5 inches,‎14.6 x 9.8 x 0.5 inches,‎Gray,‎Intel,‎4,,‎4 GB,,‎No,,‎1 Lithium Metal batteries required.,‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.99
280,‎16 Inches,‎2560 x 1600 pixels,‎2560x1600,‎1.7 GHz core_i5_1240p,‎16 GB LPDDR4X,,‎SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,"‎Bluetooth, 802.11ax",‎3,,‎acer,‎Chromebook 516 GE,‎CBG516-1H-53TD,,‎Chrome OS,‎3.75 pounds,‎14.04 x 0.84 x 9.83 inches,‎14.04 x 0.84 x 9.83 inches,‎Gray,‎Intel,‎12,,‎256 GB,,,‎24 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.99
281,‎15.6 Inches,‎1920 x 1080 pixels,‎1920x1080 Pixels,‎4.5 GHz ryzen_7,‎16 GB DDR4,‎3200 MHz,‎512 GB SSD,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎16 GB,"‎Bluetooth, 802.11ax",‎2,‎14 Hours,‎ist computers,‎Lenovo ThinkBook 15 Gen 4,‎Lenovo ThinkBook 15,‎PC,‎Windows 11 Pro,‎3.75 pounds,‎14.1 x 9.25 x 0.74 inches,‎14.1 x 9.25 x 0.74 inches,‎Grey,‎AMD,‎8,‎DDR4 SDRAM,‎512 GB,‎Solid State,‎No Optical Drive,‎110 Volts,‎1 Lithium Ion batteries required. (included),‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649.98
282,‎16 Inches,,‎1920 x 1200 Pixels,‎2.00 ryzen_5,‎16 GB DDR4,‎3200 MHz,‎512 GB SSD,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎16 GB,"‎Bluetooth, 802.11a/b/g/n/ac",‎2,,‎ist computers,‎Lenovo Thinkpad,‎ThinkPad E16,‎PC,‎Windows 11 Pro,‎3.75 pounds,‎9.4 x 14.4 x 0.74 inches,‎9.4 x 14.4 x 0.74 inches,‎Black,‎AMD,‎6,‎DDR4 SDRAM,‎512 GB,‎Solid State,‎No Optical Drive,‎230 Volts,‎1 Lithium Ion batteries required. (included),,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.98
283,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.7 GHz core_i7_family,‎32 GB DDR4,,‎1 TB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,,‎2,,‎Lenovo,‎Lenovo ThinkBook,,‎PC,‎Windows 11 Pro,‎3.75 pounds,‎9.25 x 14.1 x 0.74 inches,‎9.25 x 14.1 x 0.74 inches,‎Grey,‎Intel,‎1,‎DDR4 SDRAM,,‎Solid State,‎No Optical Drive,‎110 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825.99
285,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎1.1 GHz celeron_n,‎4 GB DDR4,‎2400 MHz,‎64 GB SSD,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎4 GB,‎802.11a/g/n/ac,,‎11 Hours,‎HP,‎HP Stream,‎HP Stream,‎PC,‎Windows 11 S,‎3.24 pounds,‎19 x 12 x 3 inches,‎19 x 12 x 3 inches,‎Pink,‎Intel,‎4,‎DDR4 SDRAM,‎4 GB,‎Solid State,‎No Optical Drive,‎12 Volts,,‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0
286,‎14 Inches,‎1920 x 1200 pixels,‎1920*1200 Pixels,‎3.4 GHz intel_processor_n100,‎DDR5,,‎512 GB SSD,,‎Intel,‎Integrated,,,,,‎EYY,‎N100 2 in 1 Laptop,,,‎Windows 11 Professional,‎4.56 pounds,‎12.6 x 8.66 x 4.8 inches,‎12.6 x 8.66 x 4.8 inches,‎Gray,‎Intel,‎1,‎DDR SDRAM,‎512 GB,,‎DVD,,‎1 Lithium Metal batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.99
287,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4 GHz ryzen_5,‎24 GB DDR4,‎3200 MHz,‎2 TB SSD,‎AMD Radeon Graphics,‎Intel,‎Integrated,,‎Bluetooth,‎2,,‎Lenovo,‎Lenovo V15-IKB,‎Lenovo V15-IKB,‎PC,‎Windows 11 Pro,‎3.75 pounds,‎14.13 x 9.29 x 0.78 inches,‎14.13 x 9.29 x 0.78 inches,‎Black,‎AMD,‎6,‎DDR4 SDRAM,,‎PCIE x 4,,,,‎AC & Battery,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.0
288,‎16 Inches,‎3840 x 2160 pixels,‎3840 x 2160 pixels,‎5.6 GHz core_i9,‎64 GB DDR5,,‎2 TB SSD,‎NVIDIA GeForce GTX 1050,‎NVIDIA,‎Dedicated,‎8 GB,,‎2,,‎ASUS,‎ProArt StudioBook Pro 16,‎W7604J3D-XS99T,,‎Windows 11 Pro,‎12.5 pounds,‎14.02 x 0.82 x 10.67 inches,‎14.02 x 0.82 x 10.67 inches,‎Mineral Black,‎Intel,‎24,‎DDR5 RAM,‎2 TB,,‎No Drive,‎120 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2999.99
289,‎17.3 Inches,‎1920 x 1080 pixels,‎1920 x 1080,‎1.3 GHz apple_ci5,‎16 LPDDR5,,‎SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,"‎Bluetooth, 802.11ax",‎3,,‎acer,‎Acer Aspire 5 17,‎A517-58M-59R9,,‎Windows 11 Home,‎4.61 pounds,‎15.83 x 10.1 x 0.71 inches,‎15.83 x 10.1 x 0.71 inches,‎Gray,‎Intel,‎10,,‎512 GB,,,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.99
290,‎16 Inches,‎1920 x 1200 pixels,‎1920X1200 Pixels,‎3.4 GHz Intel_Mobile_CPU,‎16 GB DDR5,,‎512 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎16 GB,,‎2,,‎jumper,‎Ezbook S5MAX,‎EZbook S5MAX,,‎Windows 11,‎3.63 pounds,‎14.39 x 9.6 x 0.7 inches,‎14.39 x 9.6 x 0.7 inches,‎Gray,‎Intel,‎4,‎DDR5 RAM,‎512 GB,,‎No,,‎1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.98
291,‎14 Inches,‎1920 x 1200 pixels,‎1920x1200,‎2.4 GHz ryzen_3,‎8 GB LPDDR5X,,‎128 GB Emmc,‎NVIDIA GeForce GTX 1050,‎AMD,"‎Integrated, Dedicated",‎1 GB,"‎Bluetooth, 802.11ax",‎3,‎12 Hours,‎acer,‎Acer Chromebook Plus 514 Laptop CB514-3HT-R8RB,‎NX.KQ2AA.001,,‎Chrome OS,‎3.2 pounds,‎12.56 x 0.78 x 8.94 inches,‎12.56 x 0.78 x 8.94 inches,‎Gray,‎AMD,‎4,‎DDR5 RAM,‎128 GB,,‎No Optical Drive,‎240 Volts,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.99
292,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768,‎2.4 GHz celeron,‎4 GB LPDDR4,‎2400 MHz,‎32 GB SSD,‎Intel UHD Graphics 600,‎Intel,‎Integrated,‎4 GB,"‎Bluetooth, 802.11ac",‎2,‎14 Hours,‎Dell,‎3180 chromebook,‎3180 chromebook,‎PC,‎Chrome OS,‎3.1 pounds,‎13 x 9 x 0.6 inches,‎13 x 9 x 0.6 inches,‎Black,‎Intel,‎1,‎DDR4 SDRAM,‎32000,,‎DVD,‎240 Volts,‎1 Lithium Ion batteries required.,‎Battery Powered,‎2,,,‎1 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97
293,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎1.1 GHz celeron_n,‎4 GB DDR4,,‎64 GB Emmc,‎Intel UHD Graphics 600,‎Intel,‎Integrated,,,‎3,,‎HP,‎Newest HP 14 Inch Laptop,‎Newest HP 14 Inch Laptop,‎PC,‎Windows 11 Home,‎3.24 pounds,‎12.76 x 8.86 x 0.71 inches,‎12.76 x 8.86 x 0.71 inches,‎White,‎Intel,‎4,‎DDR4 SDRAM,,‎Solid State,,,‎1 Lithium Ion batteries required. (included),‎AC & Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0
294,‎15.6 Inches,‎1920 x 1080,‎1920 x 1080 Pixels,‎1.3 GHz core_i5,,,‎256 GB SSD,‎Intel UHD Graphics,‎Intel,‎UHD Graphics,,‎802.11ax,,,‎HP,‎ProBook 450 G10,‎822P4UT#ABA,‎PC,‎Windows 11 Pro,‎3.95 pounds,‎9.2 x 14.1 x 0.78 inches,‎9.2 x 14.1 x 0.78 inches,‎Pike Silver Plastic,‎Intel,‎1,,,,‎No Information Available,,‎1 Lithium Ion batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.0
295,‎13.5 Inches,,,‎3.3 GHz core_i5,‎8 GB LPDDR4X,‎1.6 GHz,‎128 GB SSD,,‎Intel,‎Integrated,,"‎Bluetooth, 802.11a",‎1,,‎acer,‎Spin,‎713,,‎Chrome OS,‎3.08 pounds,‎12.3 x 0.71 x 8.8 inches,‎12.3 x 0.71 x 8.8 inches,‎Steel Gray,‎Intel,‎4,‎DDR4 SDRAM,‎128 GB,‎NVMe,‎No Optical Drive,‎5 Volts,,‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.99
296,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 Pixels,‎4.1 GHz core_i3_1115g4,‎8 GB DDR4,‎1800 GHz,‎256 GB SSD,‎Intel UHD Graphics,‎Intel,‎Integrated,‎8 GB,‎Bluetooth,‎3,‎45 minutes,‎HP,‎HP 15,‎0195908698098,‎PC,‎Windows 10,‎4.4 pounds,‎14.1 x 0.7 x 9.5 inches,‎14.1 x 0.7 x 9.5 inches,‎Silver,‎Intel,‎4,‎DDR4 SDRAM,‎128 GB,‎Serial ATA-300,‎B09BBJVY41,‎220 Volts,‎1 Lithium Ion batteries required.,‎Battery Powered,,,,‎5 MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0
297,‎13.5 Inches,‎2256 x 1504,‎2256 x 1504 Pixels,‎1.8 GHz core_i5,‎16 GB LPDDR4X,‎4266 MHz,‎1 TB SSD,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,,"‎Bluetooth, 802.11ax",,‎11.7 Hours,‎Lenovo,‎ThinkPad X1 Titanium Yoga,‎ThinkPad X1 Titanium Yoga 13.5,,‎Windows 11 Pro,‎2.54 pounds,‎11.71 x 9.16 x 0.45 inches,‎11.71 x 9.16 x 0.45 inches,‎Silver,‎Intel,‎4,‎DDR4 SDRAM,,‎Solid State,‎No Optical Drive,‎230 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.98
298,‎14.4 Inches,‎2400 x 1600,‎2400 x 1600 Pixels,‎3 GHz intel_core_i7_11700,‎32 GB LPDDR4X,,‎1 TB SSD,‎NVIDIA GeForce RTX 3050 Ti,‎NVIDIA,‎Dedicated,‎4 GB,‎802.11ax,,‎18 Hours,‎Microsoft,‎Microsoft Surface Laptop Studio,‎ABY-00001,‎PC,‎Windows 11 Home,‎5.92 pounds,‎9.84 x 13.63 x 2.4 inches,‎9.84 x 13.63 x 2.4 inches,‎Platinum,‎Intel,‎4,‎DDR4 SDRAM,‎1 TB,‎Solid State,‎No Optical Drive,‎240 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205.0
300,‎15.6 Inches,‎1366 x 768 pixels,‎1366x768 Pixels,‎4 GHz ryzen_5,‎8 GB DDR4,‎2666 MHz,‎256 GB SSD,‎AMD Radeon Graphics 5500,‎Intel,‎Integrated,‎8 GB,"‎Bluetooth, 802.11a/b/g/n/ac",‎2,‎10 Hours,‎HP,‎HP Laptop 15-ef2099nr,‎Ryzen 5 5500U,‎PC,‎Windows 11 Home,‎3.9 pounds,‎14.11 x 0.78 x 9.53 inches,‎14.11 x 0.78 x 9.53 inches,‎Silver,‎AMD,‎6,‎DDR4 SDRAM,,‎Solid State,‎no optical storage device,‎5 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,‎1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.99
301,‎14 Inches,‎1366 x 768 pixels,‎1366 x 768 Pixels,‎2.8 GHz celeron_n4020,‎4 GB DDR4,‎2400 MHz,‎64 GB Emmc,‎Intel UHD Graphics,‎Intel,‎Integrated,‎4 GB,"‎Bluetooth, 802.11a/b/g/n/ac",,‎11 Hours,‎HP,‎14-dq0030nr,‎14-dq0030nr,‎PC,‎Windows 11 S,‎3.24 pounds,‎12.76 x 8.86 x 0.71 inches,‎12.76 x 8.86 x 0.71 inches,‎Pale rose gold,‎Intel,‎2,‎DDR4 SDRAM,‎4 GB,‎PCIE x 8,‎No optical storage drive,‎5 Volts,‎1 Lithium Ion batteries required. (included),‎Battery Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
